Date,AMT,BLL,CNC,DG,DLR,EA,EFX,GDX,REGN,SBAC,VFC,VRSN,VRTX
11/05/2020,233.5670624,62.90926361,67.54000092,181.6912842,139.6188507,117.0686569,146.1397095,33.713974,574.1099854,294.4741821,55.84860992,212.1499939,285.2799988
12/05/2020,227.1550751,61.47973633,66.75,180.3909302,128.5642395,116.071228,144.089325,33.66423416,557.539978,287.1361694,54.37685776,208.8600006,276.4700012
13/05/2020,226.6256409,60.72526169,64.69000244,180.232132,129.0381317,116.5998611,141.5437469,33.90298843,577.1199951,282.0918884,51.42360306,212.0899963,277.0299988
14/05/2020,225.1255798,61.58893585,65.83999634,180.1626282,128.3611298,116.8192978,143.6634216,34.97737503,570.8599854,280.940033,54.03572083,214.9600067,277
15/05/2020,225.08638,61.77755356,68.69999695,180.6788025,126.4751968,117.8267059,143.0493011,36.38005447,576.7199707,282.1018066,50.64386368,217.25,288.6900024
18/05/2020,231.4101257,63.88214493,67.73999786,180.7085724,127.1134949,116.8192978,144.7133789,35.74337769,560.2800293,287.2950439,55.02013779,217.0800018,284.1300049
19/05/2020,225.4687347,63.81264877,66.91000366,180.1427765,127.0941772,118.2356491,144.8223419,37.01672745,557.5999756,282.300354,53.45092392,212.4100037,282.2799988
20/05/2020,225.6354065,63.72331238,65.31999969,177.2542267,128.3901672,119.2430573,148.0910034,36.41984558,576.8900146,281.7542725,54.56203842,215.8099976,284.6199951
21/05/2020,223.6941681,63.57439804,65.65000153,177.0954132,126.4558563,117.0586777,145.6876984,35.47478104,560.9799805,279.3115845,54.86419296,211.0599976,284.6300049
22/05/2020,237.684845,64.04097748,64.83999634,177.6611786,131.3496552,119.5123672,146.0154114,35.36534882,569.9099731,287.9205933,54.23065948,213.7200012,284.9599915
26/05/2020,239.1554871,66.05622101,64.48999786,179.0310364,133.7965698,116.3405228,150.2062988,33.90298843,545.210022,291.4257813,58.30477524,208.2200012,266.5
27/05/2020,247.0773315,68.10124207,65.69000244,185.8206329,134.7443848,117.0786209,149.8587189,33.53490829,544.0100098,301.2369385,60.60499954,209.9799957,278.5100098
28/05/2020,253.0677338,70.0370636,66.90000153,182.7533875,141.2533569,121.0384369,152.9373322,33.8234024,578.210022,308.9943542,57.30086899,212.7799988,277.3800049
29/05/2020,253.1167908,70.89263153,66.25,190.0988617,138.8451233,122.5645065,152.5003662,34.14173889,612.8099976,312.4155884,54.67900467,219.0099945,287.9599915
01/06/2020,259.1365967,70.80308533,65.69999695,190.0889435,137.7619171,122.4647598,153.9800873,35.19623566,599.4699707,315.946228,56.59910583,219.0299988,286.6400146
02/06/2020,258.4306946,71.60891724,66.26999664,190.3668823,135.4020538,122.045845,165.9667969,33.91293335,617.6599731,316.5230713,57.84667969,217.3899994,284.269989
03/06/2020,262.1563416,73.56876373,65.36000061,188.3518219,134.9088287,117.6272125,172.8092499,32.65948105,604.2800293,313.2311401,62.37890244,213.9600067,277.0100098
04/06/2020,254.6364594,75.0112915,64.38999939,184.5103607,132.4618988,116.8791428,175.351593,32.93802643,598.539978,298.9494629,62.46661377,210.2299957,272.8200073
05/06/2020,259.7052612,73.54886627,65.11000061,184.2919922,136.6399994,118.0162125,175.7885437,32.29140091,597,295.558075,66.57972717,211.2799988,265.6900024
08/06/2020,261.6563416,73.6980896,67.18000031,184.6294556,136.9495087,119.2031631,178.2117157,32.6097374,604.039978,293.0319824,66.34580994,214.4499969,265.0100098
09/06/2020,260.5582275,72.06655121,65.66999817,184.8776093,136.8334503,120.7591553,173.8222198,32.88828659,608.5900269,306.567688,63.26360703,213.4299927,270.8500061
10/06/2020,260.1464539,72.44458771,64.41000366,188.7290497,133.7385254,124.4895477,173.8321533,34.35064697,606.5900269,304.4492798,62.40962601,213.1499939,274.3399963
11/06/2020,246.5871429,66.81376648,60.25999832,186.8926697,129.5314026,122.1056824,167.4862366,32.65948105,596.1599731,288.4172974,58.69920731,204.1600037,263.8900146
12/06/2020,253.0285339,67.97773743,61.93999863,182.6441956,132.6426544,121.6568451,166.8208618,32.47046661,588.3900146,295.7470703,60.12251282,204.1699982,268.5599976
15/06/2020,257.3522034,67.84840393,61.97999954,186.4757843,136.0757751,126.1951599,167.7941132,33.33594513,590.5700073,297.7361755,61.95809174,205.8500061,267.769989
16/06/2020,259.5973816,69.81819916,64.08000183,189.473526,138.9919586,125.407196,168.5687256,32.47046661,592.9000244,300.3916016,64.75563049,207.3999939,273.769989
17/06/2020,258.8032227,69.24118042,63.52999878,188.3617554,141.9081268,127.7810822,169.2936707,32.67937469,603.0999756,296.2642212,62.43907166,209,280.0899963
18/06/2020,253.6147766,70.10670471,63.95000076,189.9102936,139.6259003,129.0178986,169.6611176,32.26155853,597.3499756,287.7111816,62.33110046,207.2299957,279.1900024
19/06/2020,261.4910278,70.31562042,64.22000122,187.3889771,136.3976288,129.8557434,166.7414093,33.37574005,643.9199829,300.6501465,62.12496567,205.2599945,293.269989
22/06/2020,260.5065002,70.71355438,63.09999847,190.7242126,138.6018219,129.3869476,170.1874695,34.68888092,628.4799805,295.4984131,61.44766617,205.75,293.2000122
23/06/2020,260.4080505,70.20619202,63.77000046,188.5702362,138.4067688,130.2646942,170.4456787,35.18628311,628.7600098,292.1766663,61.53600693,207.1900024,295.7999878
24/06/2020,250.2476807,68.62438965,61.88000107,190.4363861,136.5634155,130.5339966,165.0233459,34.55955887,605.039978,286.1994324,57.94337845,202.7299957,291.1799927
25/06/2020,250.4249115,68.84324646,63.36000061,189.2650452,139.5381317,130.4043274,166.7811432,34.77841568,619.960022,287.7111816,58.70902252,205.1100006,295.1499939
26/06/2020,242.6667938,66.992836,59.75,187.9944763,137.119339,130.5938263,166.3739777,35.00722122,611.3599854,292.5844421,56.08817291,203.6399994,286.1400146
29/06/2020,249.8735657,68.03742218,62.59000015,188.6198578,136.6707153,130.3544464,166.5626526,35.37530136,610.8699951,287.6017456,59.24889755,204.1000061,285.1799927
30/06/2020,254.5402527,69.13175201,63.54999924,189.1062317,138.6018219,131.710968,170.6939545,36.48948288,623.6500244,296.2940979,59.81822205,206.8300018,290.3099976
01/07/2020,261.2842712,70.31562042,65.41000366,189.4933624,143.7514954,134.872818,172.3722992,36.37010574,609.1699829,299.7053528,59.48448181,210.4799957,286.2799988
02/07/2020,260.1225281,71.43979645,66.51999664,188.0838165,144.9218445,133.4963684,170.7138062,35.98212814,622.4500122,298.9395142,60.44644165,210.8099976,291.1000061
06/07/2020,261.8553162,72.06655121,66.62999725,186.1146698,144.1611023,133.9252625,170.3662415,36.64865112,627.25,300.7396851,61.8304863,212.1999969,291.3099976
07/07/2020,261.8553162,72.30530548,65.83000183,186.7909546,143.8490295,134.43396,167.5358887,37.5340271,640.8800049,303.8227539,58.72865677,211.1100006,299.0599976
08/07/2020,260.6049194,71.76808929,65.58999634,185.5080261,143.4783936,135.2618256,167.9331512,38.75763702,640.3400269,301.5253296,59.56300735,210.8000031,295.9200134
09/07/2020,261.4910278,71.38011169,63.31000137,188.7004395,143.4003754,138.4137115,160.673584,38.58852386,640.6300049,306.1002502,57.19737244,212.6100006,295.3999939
10/07/2020,260.260376,72.02675629,62.84000015,187.2086639,143.7514954,140.4484711,161.9844818,38.20055008,620.8599854,302.7585754,59.62190247,209.9900055,294.4500122
13/07/2020,251.9706116,71.2607193,63.52999878,185.4384155,139.167511,134.9625854,162.5108185,36.93714523,615.8800049,290.1378479,58.94460297,201,284.8200073
14/07/2020,254.9340363,73.23051453,65.27999878,188.6904907,143.1565399,138.1743317,162.3121948,38.3895607,641.2299805,295.4984131,59.13110733,198.6499939,293.8299866
15/07/2020,253.2898712,69.16159821,65.59999847,188.3921356,140.6109619,138.0745697,163.8018494,38.46914291,632.7399902,291.3114014,61.50656128,199.1900024,295.1099854
16/07/2020,253.4966431,69.11185455,66.02999878,187.8849335,136.992569,137.6955719,164.0699921,37.88221359,632.210022,289.9687805,61.17282104,198.3899994,290.5599976
17/07/2020,255.1014252,69.92763519,66.26999664,187.4473419,140.2013397,137.954895,165.6490173,39.10582352,644.0599976,296.015625,58.62067795,199.6999969,294.5299988
20/07/2020,256.4994507,72.38490295,64.86000061,191.7138367,140.679245,141.166626,166.6421204,40.1702652,658.210022,299.1384583,56.86362839,207.6600037,303.1000061
21/07/2020,255.1998749,72.30530548,65.87000275,190.8088379,139.7624512,138.9822388,165.1822357,40.69750977,638.8599854,295.2298889,58.57159805,205.0099945,291.3999939
22/07/2020,255.0325317,72.80273438,66.81999969,194.08078,141.2936859,137.9449158,166.8506622,41.5331459,637.5300293,296.5725403,58.59122849,205.8099976,291.230011
23/07/2020,253.9101105,72.6137085,67.73999786,190.5999603,142.1909637,135.0124664,175.4210968,40.7472496,630.3099976,297.0498962,59.03294754,205.4799957,284.4599915
24/07/2020,252.3644257,72.78283691,67.51000214,190.6496887,143.3613586,134.8927917,166.0065308,41.61273575,608.9400024,297.0498962,58.7973671,208.5299988,278.4899902
