Date,AMT,BLL,CNC,DG,DLR,EA,EFX,GDX,REGN,SBAC,VFC,VRSN,VRTX
26/02/2021,215.0151367,85.38999939,58.54000092,188.5978394,133.5710297,133.8040924,161.8800049,31.12999916,450.5700073,254.5205994,78.65424347,194.0299988,212.5500031
01/03/2021,212.6673126,86.5,59.38999939,192.4997101,131.8162689,137.1000061,166.6100006,30.89999962,463.0499878,247.3477783,80.68198395,195.8000031,210.3800049
02/03/2021,207.7328949,86.34999847,59.13999939,186.1129913,129.9920807,136.8200073,166.0899963,31.95999908,454.8599854,245.7416229,81.69585419,193.9900055,212.0599976
03/03/2021,201.863327,84.59999847,58.79999924,182.5104828,124.5790558,133.0500031,167.0399933,31.35000038,446.730011,238.5887451,80.71179962,190.4799957,208.4400024
04/03/2021,200.1522064,83.5,59.29000092,177.77034,127.8903198,131.2899933,163.8300018,31.37000084,449.3800049,235.3564758,77.23284149,190.3000031,207.7899933
05/03/2021,198.968338,82.20999908,60.52000046,178.3391724,130.8645172,132.6000061,169.75,31.78000069,461.5700073,241.6115112,78.29640961,193.7700043,211.9799957
08/03/2021,197.6352539,82.58999634,61.72000122,181.6023712,131.0429688,127.2099991,173.1399994,31.38999939,463.1900024,242.2400055,81.01000214,188.8500061,213.5800018
09/03/2021,201.6544037,86.26000214,61.49000168,186.3125763,133.9180298,130.9299927,174.8999939,32.29999924,470.6300049,247.9700012,79.5,191.9900055,214.0399933
10/03/2021,203.3655396,85.22000122,61.59000015,187.1608276,134.1856995,130.1199951,172.5500031,32.43000031,467.9500122,249.8399963,79.66999817,190.1000061,214.2899933
11/03/2021,212.7966309,83.52999878,61.88999939,189.276413,133.6900024,131.3399963,170.7200012,33.04999924,469.9599915,258.6300049,79.5,192.0200043,215.1499939
12/03/2021,214.0899353,84.63999939,62.90000153,191.561676,134.1900024,130.4900055,170.5299988,33.08000183,471.4599915,261.019989,79.08999634,188.1000061,214.3300018
15/03/2021,217.3629608,85.40000153,62.79999924,193.6972351,135.0700073,130.8899994,173.6499939,33.61999893,483.9400024,265.480011,79.76999664,190.3699951,219.6499939
16/03/2021,221.6905212,83.90000153,62.97000122,193.1483765,135.6799927,131.7400055,172.5700073,33.49000168,482.1700134,269.9299927,75.91999817,191.1300049,218.9900055
17/03/2021,222.0188141,83.51999664,61.88999939,187.1208954,134.6799927,130.6000061,171.9900055,34.20999908,496.0100098,267.7200012,78.34999847,190.7400055,217.0800018
18/03/2021,221.3622131,82.62999725,63.56999969,178.4289856,134.1600037,128,172.6999969,33.61999893,474.6799927,267.6700134,79.30000305,188.5200043,213.3600006
19/03/2021,220.7155762,81.25,64.23999786,187.3903351,133.5099945,128.3999939,174.1799927,33.88999939,473.7000122,266.0700073,79.62999725,192.0500031,216.1100006
22/03/2021,224.6651001,84.31999969,64.45999908,193.5575256,136.5500031,131.4100037,175.1300049,33.49000168,483.2200012,274.1000061,79.81999969,194.4499969,218.8200073
23/03/2021,228.6643677,85.33000183,64.05999756,196.681015,140,133.0500031,175.4799957,32.63999939,469.7600098,274.1400146,76.45999908,196.2599945,213.5899963
24/03/2021,225.829071,85.34999847,64.94000244,196.671051,140.0899963,129.8000031,174.4100037,32.29999924,460.3200073,272.4599915,76.66000366,195.0299988,211.5399933
25/03/2021,226.0479279,84.05000305,64.94000244,197.3695831,138.3600006,130.0299988,177,32.24000168,463.480011,272.3599854,78.11000061,193.3800049,212.3600006
26/03/2021,237.5881042,84.08999634,64.86000061,202.6585999,142.9100037,132.8500061,182.5,32.77000046,476.9100037,282.5700073,80.20999908,199.6799927,214.6399994
29/03/2021,240.5825653,85.09999847,65.63999939,202.9679565,144.5500031,134.9700012,183.6900024,32.86000061,481.519989,281.3999939,78.77999878,201.1799927,216.7100067
30/03/2021,235.9266968,84.52999878,65.37999725,201.3313599,141.2400055,134.4299927,183.2799988,31.82999992,470.6700134,276.2399902,80.12999725,194.8699951,212.9900055
31/03/2021,237.8268585,84.73999786,63.90999985,202.1995392,140.8399963,135.3699951,181.1300049,32.5,473.1400146,277.5499878,79.91999817,198.7599945,214.8899994
01/04/2021,238.821701,86.26999664,63.25,201.9799957,143.25,137.9600067,182.6100006,33.59999847,474.9299927,281.1799927,79.48999786,201.8999939,213.0399933
